==========================================================
DETAILED LAGRANGEAN AUGMENTATION REPORT: (CVS DATA FORMAT)
ITER, DUAL BEST, PRIM BEST, GAP (pu), ELAPSED TIME (mseg)
==========================================================
1, 4716294.374284709, 0.0, -1.0, 22
2, 4716793.431590793, 0.0, -1.0, 37
3, 4717458.051684684, 0.0, -1.0, 59
4, 4718118.839341765, 0.0, -1.0, 74
5, 4718800.0626084935, 0.0, -1.0, 453
6, 4719473.301737315, 0.0, -1.0, 555
7, 4720161.701904165, 0.0, -1.0, 557
8, 4720747.424176181, 0.0, -1.0, 560
9, 4721231.232932679, 0.0, -1.0, 562
10, 4721718.503281334, 0.0, -1.0, 565
11, 4722206.949908637, 0.0, -1.0, 567
12, 4722699.465095462, 0.0, -1.0, 571
13, 4723187.577752472, 0.0, -1.0, 580
14, 4723678.805148634, 0.0, -1.0, 582
15, 4724169.7769626565, 0.0, -1.0, 585
16, 4724662.352409405, 0.0, -1.0, 588
17, 4725154.861920027, 0.0, -1.0, 590
18, 4725646.102037024, 0.0, -1.0, 593
19, 4726134.486046348, 0.0, -1.0, 595
20, 4726629.189593837, 0.0, -1.0, 598
21, 4727128.022719416, 0.0, -1.0, 600
22, 4727622.156865078, 0.0, -1.0, 602
23, 4728121.117678084, 0.0, -1.0, 605
24, 4728610.1544356, 0.0, -1.0, 607
25, 4729057.215092716, 0.0, -1.0, 610
26, 4729327.088529955, 0.0, -1.0, 612
27, 4729590.58972402, 0.0, -1.0, 615
28, 4729861.347228187, 0.0, -1.0, 617
29, 4730126.174116538, 0.0, -1.0, 619
30, 4730398.100786281, 0.0, -1.0, 622
31, 4730663.650745919, 0.0, -1.0, 624
32, 4730933.685178793, 0.0, -1.0, 627
33, 4731201.219903037, 0.0, -1.0, 629
34, 4731469.608724803, 0.0, -1.0, 632
35, 4731737.732773821, 0.0, -1.0, 634
36, 4731978.127376533, 0.0, -1.0, 637
37, 4732163.524605243, 0.0, -1.0, 639
38, 4732340.403153764, 0.0, -1.0, 642
39, 4732512.425662401, 0.0, -1.0, 644
40, 4732679.2939843265, 0.0, -1.0, 646
41, 4732851.666301051, 0.0, -1.0, 649
42, 4733022.113060154, 0.0, -1.0, 651
43, 4733188.237443219, 0.0, -1.0, 654
44, 4733361.19568645, 0.0, -1.0, 656
45, 4733523.943746698, 0.0, -1.0, 658
46, 4733687.810863147, 0.0, -1.0, 661
47, 4733838.029205489, 0.0, -1.0, 663
48, 4734009.4865724975, 0.0, -1.0, 665
49, 4734169.575942459, 0.0, -1.0, 668
50, 4734295.77229053, 0.0, -1.0, 671
51, 4734462.250673718, 0.0, -1.0, 673
52, 4734618.382118597, 0.0, -1.0, 675
53, 4734780.977208382, 0.0, -1.0, 678
54, 4734936.703370426, 0.0, -1.0, 680
55, 4735096.742781349, 0.0, -1.0, 682
56, 4735233.209091656, 0.0, -1.0, 685
57, 4735347.640131166, 0.0, -1.0, 687
58, 4735351.314883177, 0.0, -1.0, 689
59, 4735376.145324694, 0.0, -1.0, 692
60, 4735415.954130695, 0.0, -1.0, 694
61, 4735433.394540544, 0.0, -1.0, 697
62, 4735459.343094507, 0.0, -1.0, 699
63, 4735495.086679899, 0.0, -1.0, 701
64, 4735495.086679899, 0.0, -1.0, 704
65, 4735502.026879505, 0.0, -1.0, 706
66, 4735517.777654394, 0.0, -1.0, 708
67, 4735557.1540717725, 0.0, -1.0, 711
68, 4735582.104477842, 0.0, -1.0, 714
69, 4735607.659062326, 0.0, -1.0, 716
70, 4735629.65787746, 0.0, -1.0, 718
71, 4735629.65787746, 0.0, -1.0, 721
72, 4735629.65787746, 0.0, -1.0, 723
73, 4735650.478300012, 0.0, -1.0, 725
74, 4735676.371779184, 0.0, -1.0, 727
75, 4735707.142761892, 0.0, -1.0, 730
76, 4735727.76814923, 0.0, -1.0, 732
77, 4735764.420433788, 0.0, -1.0, 734
